
22.27, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.75, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.75, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.75, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.27, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.75, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

23.73, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.75, 26.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.27, 26.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.75, 26.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 

22.75, 26.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
